date,country_code,block,block_value
1959-02-28,DE,Credit & leverage,0.2842131229324631
1959-02-28,DE,Macro vulnerability,-1.4344699493906128
1959-02-28,ES,Macro vulnerability,0.9922283047427763
1959-02-28,UK,Macro vulnerability,-0.5301718306282025
1959-02-28,US,Credit & leverage,0.1241371388131248
1959-02-28,US,Macro vulnerability,-0.451473544563741
1959-03-31,DE,Credit & leverage,0.2842131229324631
1959-03-31,DE,Macro vulnerability,-1.4344699493906128
1959-03-31,ES,Macro vulnerability,0.7061149927970787
1959-03-31,UK,Macro vulnerability,-0.694230235579653
1959-03-31,US,Credit & leverage,0.1241371388131248
1959-03-31,US,Macro vulnerability,-0.6732451463623245
1959-04-30,DE,Credit & leverage,0.3569436016857639
1959-04-30,DE,Macro vulnerability,-1.4344699493906128
1959-04-30,ES,Macro vulnerability,0.40236780909090175
1959-04-30,UK,Macro vulnerability,-1.033669488181748
1959-04-30,US,Credit & leverage,0.36332946233657104
1959-04-30,US,Macro vulnerability,-0.7959727748279417
1959-05-31,DE,Credit & leverage,0.3569436016857639
1959-05-31,DE,Macro vulnerability,-1.8116154112098686
1959-05-31,ES,Macro vulnerability,0.33478487370683035
1959-05-31,UK,Macro vulnerability,-1.033669488181748
1959-05-31,US,Credit & leverage,0.36332946233657104
1959-05-31,US,Macro vulnerability,-0.8265990860176824
1959-06-30,DE,Credit & leverage,0.3569436016857639
1959-06-30,DE,Macro vulnerability,-1.5905476602750452
1959-06-30,ES,Macro vulnerability,0.24638158881493089
1959-06-30,UK,Macro vulnerability,-1.033669488181748
1959-06-30,US,Credit & leverage,0.36332946233657104
1959-06-30,US,Macro vulnerability,-0.7931756503741857
1959-07-31,DE,Credit & leverage,0.5560371691974684
1959-07-31,DE,Macro vulnerability,-1.120510127428228
1959-07-31,ES,Macro vulnerability,0.11452147769386033
1959-07-31,UK,Macro vulnerability,-0.9743969048089587
1959-07-31,US,Credit & leverage,0.4343538277833957
1959-07-31,US,Macro vulnerability,-0.7629910523850374
1959-08-31,DE,Credit & leverage,0.5560371691974684
1959-08-31,DE,Macro vulnerability,-0.32275824724633334
1959-08-31,ES,Macro vulnerability,0.016829787328958293
1959-08-31,UK,Macro vulnerability,-0.8740934168447084
1959-08-31,US,Credit & leverage,0.4343538277833957
1959-08-31,US,Macro vulnerability,-0.6678733181822274
1959-09-30,DE,Credit & leverage,0.5560371691974684
1959-09-30,DE,Macro vulnerability,-0.15646892722361191
1959-09-30,ES,Macro vulnerability,-0.18532112525745822
1959-09-30,UK,Macro vulnerability,-1.014315334302098
1959-09-30,US,Credit & leverage,0.4343538277833957
1959-09-30,US,Macro vulnerability,-0.5119445822486282
1959-10-31,DE,Credit & leverage,0.7670790638724617
1959-10-31,DE,Macro vulnerability,-0.32275824724633334
1959-10-31,ES,Macro vulnerability,-0.30517216474481035
1959-10-31,UK,Macro vulnerability,-1.033669488181748
1959-10-31,US,Credit & leverage,0.4558166331467681
1959-10-31,US,Macro vulnerability,-0.3866421575047693
1959-11-30,DE,Credit & leverage,0.7670790638724617
1959-11-30,DE,Macro vulnerability,-0.17132952422391448
1959-11-30,ES,Macro vulnerability,-0.41501298558369676
1959-11-30,UK,Macro vulnerability,-1.033669488181748
1959-11-30,US,Credit & leverage,0.4558166331467681
1959-11-30,US,Macro vulnerability,-0.4209491491221114
1959-12-31,DE,Credit & leverage,0.7670790638724617
1959-12-31,DE,Macro vulnerability,-0.17132952422391448
1959-12-31,ES,Macro vulnerability,-0.470252192184593
1959-12-31,UK,Macro vulnerability,-1.033669488181748
1959-12-31,US,Credit & leverage,0.4558166331467681
1959-12-31,US,Macro vulnerability,-0.5091474022637317
1960-01-31,DE,Credit & leverage,0.8622447466806641
1960-01-31,DE,Macro vulnerability,-0.17132952422391448
1960-01-31,DE,Market stress,-0.7820968427937762
1960-01-31,ES,Macro vulnerability,-0.6492841207072404
1960-01-31,UK,Macro vulnerability,-1.033669488181748
1960-01-31,UK,Market stress,-0.4169195233658901
1960-01-31,US,Credit & leverage,0.3535675291993307
1960-01-31,US,Macro vulnerability,-0.6685358046864052
1960-02-29,DE,Credit & leverage,0.8622447466806641
1960-02-29,DE,Macro vulnerability,-0.4871144947279703
1960-02-29,DE,Market stress,-0.6341030238017805
1960-02-29,ES,Macro vulnerability,-0.7557792975935486
1960-02-29,UK,Macro vulnerability,-1.033669488181748
1960-02-29,UK,Market stress,-0.09855449962328532
1960-02-29,US,Credit & leverage,0.3535675291993307
1960-02-29,US,Macro vulnerability,-0.6622789582124344
1960-03-31,DE,Credit & leverage,0.8622447466806641
1960-03-31,DE,Macro vulnerability,-0.4871144947279703
1960-03-31,DE,Market stress,-0.46496723066806994
1960-03-31,ES,Macro vulnerability,-0.8806021476477458
1960-03-31,UK,Macro vulnerability,-1.033669488181748
1960-03-31,UK,Market stress,-0.19141096488154474
1960-03-31,US,Credit & leverage,0.3535675291993307
1960-03-31,US,Macro vulnerability,-0.47852109107399093
1960-04-30,DE,Credit & leverage,0.8858282117686086
1960-04-30,DE,Macro vulnerability,-0.17132952422391448
1960-04-30,DE,Market stress,-0.5495351272349251
1960-04-30,ES,Macro vulnerability,-0.9813949818970531
1960-04-30,UK,Macro vulnerability,-0.9158965122789418
1960-04-30,UK,Market stress,-0.20467617420415357
1960-04-30,US,Credit & leverage,0.33084691172342295
1960-04-30,US,Macro vulnerability,-0.5408780427309029
1960-05-31,DE,Credit & leverage,0.8858282117686086
1960-05-31,DE,Macro vulnerability,-0.013436767396649061
1960-05-31,DE,Market stress,-0.5142985036654024
1960-05-31,ES,Macro vulnerability,-1.0958492296292617
1960-05-31,UK,Macro vulnerability,-0.8358078816309507
1960-05-31,UK,Market stress,-0.24447180217197947
1960-05-31,US,Credit & leverage,0.33084691172342295
1960-05-31,US,Macro vulnerability,-0.5715043539206436
1960-06-30,DE,Credit & leverage,0.8858282117686086
1960-06-30,DE,Macro vulnerability,-0.49530466074286666
1960-06-30,DE,Market stress,-0.22535819039531313
1960-06-30,ES,Macro vulnerability,-1.0037846953477711
1960-06-30,UK,Macro vulnerability,-0.7568819112647038
1960-06-30,UK,Market stress,-0.297532639462413
1960-06-30,US,Credit & leverage,0.33084691172342295
1960-06-30,US,Macro vulnerability,-0.4807221603730069
1960-07-31,DE,Credit & leverage,0.7369727142037568
1960-07-31,DE,Macro vulnerability,-0.654081123393213
1960-07-31,DE,Market stress,-0.06326972197550776
1960-07-31,ES,Macro vulnerability,-1.011415898651571
1960-07-31,UK,Macro vulnerability,-0.6565323627483884
1960-07-31,UK,Market stress,0.20654531479671062
1960-07-31,US,Credit & leverage,0.21374616588732312
1960-07-31,US,Macro vulnerability,-0.5145767583004326
1960-08-31,DE,Credit & leverage,0.7369727142037568
1960-08-31,DE,Macro vulnerability,-0.8119478089976709
1960-08-31,DE,Market stress,-0.02098577369207983
1960-08-31,ES,Macro vulnerability,-1.0040618077922603
1960-08-31,UK,Macro vulnerability,-0.8560849337039534
1960-08-31,UK,Market stress,0.1866475008127977
1960-08-31,US,Credit & leverage,0.21374616588732312
1960-08-31,US,Macro vulnerability,-0.48395044711069213
1960-09-30,DE,Credit & leverage,0.7369727142037568
1960-09-30,DE,Macro vulnerability,-0.8101592144829781
1960-09-30,DE,Market stress,0.09881874644429825
1960-09-30,ES,Macro vulnerability,-0.9898113123924525
1960-09-30,UK,Macro vulnerability,-0.7152294234265595
1960-09-30,UK,Market stress,0.1136888495384512
1960-09-30,US,Credit & leverage,0.21374616588732312
1960-09-30,US,Macro vulnerability,-0.5786174905785558
1960-10-31,DE,Credit & leverage,0.304048946063944
1960-10-31,DE,Macro vulnerability,-0.8119478089976709
1960-10-31,DE,Market stress,0.5850841517037151
1960-10-31,ES,Macro vulnerability,-0.9979390660243846
1960-10-31,UK,Macro vulnerability,-0.637438702542711
1960-10-31,UK,Market stress,0.05399540758671298
1960-10-31,US,Credit & leverage,0.19189630366837723
1960-10-31,US,Macro vulnerability,-0.33254387348454684
1960-11-30,DE,Credit & leverage,0.304048946063944
1960-11-30,DE,Macro vulnerability,-1.125861734744905
1960-11-30,DE,Market stress,0.14815001944163
1960-11-30,ES,Macro vulnerability,-1.0399765118502087
1960-11-30,UK,Macro vulnerability,-0.699759019830607
1960-11-30,UK,Market stress,-0.39702170938197656
1960-11-30,US,Credit & leverage,0.19189630366837723
1960-11-30,US,Macro vulnerability,-0.33254387348454684
1960-12-31,DE,Credit & leverage,0.304048946063944
1960-12-31,DE,Macro vulnerability,-1.125861734744905
